address,city,country,description,facilities,latitude,longitude,name,operator,university_affiliated,url
Stonemason House 145 Magdalen Road Oxford OX4 1RL,Oxford,United Kingdom,"Stonemason House. Perfectly located in the heart of Oxfords vibrant student community.Here youre just a short walk away from Cowley Road, with all its bars, restaurants and boutique shops. Tons to do. And heaps to see. The perfect place to take a break and a popular area with students of Oxford Brookes University and the University of Oxford. Both Universities are a short 20 minute walk away and Oxford City centre is just a short bus ride away or hop on your bike and youll be there in 20 mins.Choose from a range of 4, 5, 6 and 7 bed apartments all-purpose built for the modern student lifestyle. Bedrooms come complete with Ensuite showers, under bed storage, built in wardrobes and plenty of space to study.Each apartment has a modern kitchen and shared space for dining with a TV, washer/dryer and electrical goods all included in the price. You can choose to book on your own or book with friends, and with all bills, including water, electricity, heating, WIFI and free contents insurance included in your rent AND with no deposits or fees to pay  budgetings no sweat!",n/a,51.7438756,-1.2338235,Stonemason House,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/
34 - 36 St Peters Street Aberdeen AB24 3HQ,Aberdeen,United Kingdom,"Our Landlord Registration Number is 1051301/100/03061Cosy private studios and buzzy shared spaces  less than a mile from Aberdeen University and Aberdeen College. St Peter Studios has it all.Theres 123 studio spaces going. All-inclusive. All purpose-built for the modern student lifestyle.And, each like a home in their own right  with kitchen, bathroom, flat screen TV and  double bed. Your own little haven.Youll be positivelysurrounded by shared facilities: a gym, lounge, TV room and private cinema. A whole community under one roof.All perfectly secure. An on-site manager, maintenance team, and round-the-clock CCTV all work together to make sure youre safe.There are no booking fees or deposits to pay! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance!",n/a,57.1573598,-2.1010798,St Peter Studios,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
"Foss Studios, 32 Lawrence Street, York. YO10 3DU",York,United Kingdom,"Foss Studios is mid-way between the city centre and the University of York, so youll be in a great spot to enjoy Yorks great shops, restaurants, bars and attractions  while also being just a short walk (or bus ride) from both universities. Its about a 16-minute walk to the University of York, and a few more to York St John Universityand if you dont feel like walking, theres a bus stop right outside.Whether you to choose to enjoy living all by yourself, or share with your plus one, theres a room to suit everyones budget. Set up home with your own double bed, roomy work station, high spec kitchen area and en-suite shower room.With no deposits or fees to pay, all bills are included in your rent  electricity, WIFI, water and free contents insurance. Its all taken care of.",n/a,53.954581,-1.0713916,Foss Studios,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/
"Centro Court, 85 Loch Street, Aberdeen AB25 1DH",Aberdeen,United Kingdom,"Our Landlord Registration Number is 411613/100/27311These 56 studios have it all. Roomy kitchens. Ensuite showers. Big desks. Bigger double beds. Storage space in spades.Centro Court Studios. Its one of the best student homes in Aberdeen. Its ideally located between Aberdeen University, Robert Gordon University and Aberdeen College.Its student living at its finest. And theres a lounge for winding down, or for reading and studying for when you need to be a bit more studious.The locations so good youll want to stay here forever. Youll be just a short walk away from the city centre, with all its bars, clubs and seafront buzz.Tons to do. And heaps to see. Its the perfect place to start exploring.Whats more, because we like to keep things simple. We dont charge any booking fees or deposits! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance !",n/a,57.1510976,-2.1015266,Centro Court,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/centro-court/
"54 South Bridge, Edinburgh, EH1 1YS",Edinburgh,United Kingdom,"Quiet, beautiful spaces designed with Postgrads in mind.South Bridge is split into 4 town houses with spacious, fully equipped studios. That means modern kitchens, ensuite bathrooms, space to study, laundry facilities in each room, and high (or sloped) ceilings.Our residents also have exclusive access to use the fully equipped gyms and cinema rooms in other Hello Student buildings throughout the city, just a few minutes walk away. And of course have quick access to our in-city maintenance and security teams.A peaceful oasis, youll find us in the bustling old town of Edinburgh, a stones throw away from great bars, cafes, and restaurants and were right across the street from the Old College and only a 2 minutes walk from the main University campus at Bristo Square.Some of our studios even have fantastic views over the city towards Arthurs Seat and the sea.And its easy to budget,rent comes inclusive of all bills, speedy WIFI and free contents insurance too!One last thing.. Youll need to send us proof of your Postgrad status in order to complete your booking. This helps us make sure that our Postgrad only properties stay that way. Please contact our site team for more information on your chosen room.",n/a,55.947782,-3.1879131,South Bridge,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/
"Ayton House, Abbey Walk, St Andrews, Fife KY16 9BF",St Andrews,United Kingdom,"Our Landlord Registration Number is : 477179/250/27071Ayton House is perfect for students at the University of St Andrews  which is just a short walk away. A little closer are local convenience stores, great independent cafes, and cute eateries.Complete with exceptional sea and beach views and a communal landscaped garden, Ayton House is less student apartment block, more modern stately home. For students.Theres a great choice of rooms to suit every budget. Stylish, self-contained studios. Two to five bedroom apartments.And, because we like to keep things simple, we dont charge fees or deposits. All the utilities are rolled into the price of the rent  water, electricity, contents insurance and WIFI .",n/a,56.3364936,-2.7875628,Ayton House,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/
"10 Halsmere Road, London SE5 9LN",London,United Kingdom,"Perfectly located for students of Kings College London, Goldsmiths, University of the Arts, London South Bank University, and many more. And its so well connected. The bright lights of the West End and trendy Camberwell are only a short bus journey away. Thats more bars, restaurants, and cafes than you can shake a selfie stick at.A mix of historic and modern architecture. A design that perfectly balances space for work and play. Choose from 79 studio apartments, complete with everything youd expect from a contemporary studio. Need a little time away from the books? Head to the spacious common room. Play a few games of pool, or just chill out in front of the flat-screen TV.Whats more each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",n/a,51.4753738,-0.1047475,Halsmere Studios,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/london/halsmere-studios/
"1 - 107 Percys Place, Percys Lane, York, YO1 9TP",York,United Kingdom,"Perfect for students studying at theUniversity of YorkandSt Johns University conveniently located between the two and close to both campuses and inside the city walls.Percys Place has it all. Shared spaces where residents come together. An on-site gym for working out, cinema to catch a film, and a study room for when you want to get your head down.We dont ask for any deposits or fees and all utilities are included in your rent  water, electricity, heating, WIFI and free contents insurance. Budgeting made simple!*Images are for illustrative purposes only",n/a,53.9568511,-1.075559,Percys Place,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/york/percy-lane/
"Pavilion Court 1-54 Station Road West, Canterbury, Kent CT2 8FE",Canterbury,United Kingdom,"Just minutes walk to the University of Kent, Canterbury Christchurch University and conveniently close to Canterbury railway station, Westgate and the ancient city centre and less than an hour to London, you really do have everything on your doorstep.Not to mention local shops, restaurants and bars, these student apartments are hugely popular  and its not hard to see why!Theres a great choice of rooms to suit every budget. From classic studios to shared apartments, all accommodation comprises of bedroom, ensuite shower facilities, kitchen facilities and study areas forwell studying.  And theres a Sainsburys on the ground floor too  handy.With no deposits or fees to pay, all utilities are included in your rent:  water, electricity, heating, WIFI, free laundry and free contents insurance!",n/a,51.282606,1.0720277,Pavilion Court,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/canterbury/pavilion-court/
"Caledonia Mills, Caledonia Road, Stoke-on-Trent ST4 2DN",Stoke,United Kingdom,"Caledonia Mills is the perfect mix of studios and shared apartments, and all the buzz and benefits that come with both.The locations pretty great as well. Its a mere 10 minute walk from Staffordshire Universitys main campus, and short bus ride away to the University of Keele.There are no deposits or fees to pay! Plus, all utilities are rolled into the rent  water, electricity, heating, WIFI and free contents insurance. So dont worry about budgeting. Its all taken care of.",n/a,53.0153545,-2.1887791,Caledonia Mills,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/stoke/caledonia-mills/
