academic_year,address,building_description,building_name,building_university_affiliated,building_url,city,contract__availability,contract__currency,contract__date_end,contract__date_start,contract__utilities_included,country,latitude,longitude,offers,operator,rent_pm,rent_pw,rent_total,room_amenities,room_name,room_type,tenancy_months,tenancy_type,tenancy_weeks
2023/2024,Stonemason House 145 Magdalen Road Oxford OX4 1RL,"Stonemason House. Perfectly located in the heart of Oxfords vibrant student community.Here youre just a short walk away from Cowley Road, with all its bars, restaurants and boutique shops. Tons to do. And heaps to see. The perfect place to take a break and a popular area with students of Oxford Brookes University and the University of Oxford. Both Universities are a short 20 minute walk away and Oxford City centre is just a short bus ride away or hop on your bike and youll be there in 20 mins.Choose from a range of 4, 5, 6 and 7 bed apartments all-purpose built for the modern student lifestyle. Bedrooms come complete with Ensuite showers, under bed storage, built in wardrobes and plenty of space to study.Each apartment has a modern kitchen and shared space for dining with a TV, washer/dryer and electrical goods all included in the price. You can choose to book on your own or book with friends, and with all bills, including water, electricity, heating, WIFI and free contents insurance included in your rent AND with no deposits or fees to pay  budgetings no sweat!",Stonemason House,n/a,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/,Oxford,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,51.7438756,-1.2338235,n/a,Hello Student,797.33,184.0,7912.0,n/a,Classic Shared Apartment,non-ensuite,9.9,shorter tenancy,43
2023/2024,Stonemason House 145 Magdalen Road Oxford OX4 1RL,"Stonemason House. Perfectly located in the heart of Oxfords vibrant student community.Here youre just a short walk away from Cowley Road, with all its bars, restaurants and boutique shops. Tons to do. And heaps to see. The perfect place to take a break and a popular area with students of Oxford Brookes University and the University of Oxford. Both Universities are a short 20 minute walk away and Oxford City centre is just a short bus ride away or hop on your bike and youll be there in 20 mins.Choose from a range of 4, 5, 6 and 7 bed apartments all-purpose built for the modern student lifestyle. Bedrooms come complete with Ensuite showers, under bed storage, built in wardrobes and plenty of space to study.Each apartment has a modern kitchen and shared space for dining with a TV, washer/dryer and electrical goods all included in the price. You can choose to book on your own or book with friends, and with all bills, including water, electricity, heating, WIFI and free contents insurance included in your rent AND with no deposits or fees to pay  budgetings no sweat!",Stonemason House,n/a,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/,Oxford,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,51.7438756,-1.2338235,n/a,Hello Student,797.33,184.0,7912.0,n/a,Classic Shared Apartment - Single Bed,non-ensuite,9.9,shorter tenancy,43
2023/2024,Stonemason House 145 Magdalen Road Oxford OX4 1RL,"Stonemason House. Perfectly located in the heart of Oxfords vibrant student community.Here youre just a short walk away from Cowley Road, with all its bars, restaurants and boutique shops. Tons to do. And heaps to see. The perfect place to take a break and a popular area with students of Oxford Brookes University and the University of Oxford. Both Universities are a short 20 minute walk away and Oxford City centre is just a short bus ride away or hop on your bike and youll be there in 20 mins.Choose from a range of 4, 5, 6 and 7 bed apartments all-purpose built for the modern student lifestyle. Bedrooms come complete with Ensuite showers, under bed storage, built in wardrobes and plenty of space to study.Each apartment has a modern kitchen and shared space for dining with a TV, washer/dryer and electrical goods all included in the price. You can choose to book on your own or book with friends, and with all bills, including water, electricity, heating, WIFI and free contents insurance included in your rent AND with no deposits or fees to pay  budgetings no sweat!",Stonemason House,n/a,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/,Oxford,sold out,GBP,23/08/24,28/10/23,n/a,United Kingdom,51.7438756,-1.2338235,n/a,Hello Student,888.33,205.0,8815.0,n/a,Classic 4 Bed Apartment,non-ensuite,9.9,shorter tenancy,43
2023/2024,34 - 36 St Peters Street Aberdeen AB24 3HQ,"Our Landlord Registration Number is 1051301/100/03061Cosy private studios and buzzy shared spaces  less than a mile from Aberdeen University and Aberdeen College. St Peter Studios has it all.Theres 123 studio spaces going. All-inclusive. All purpose-built for the modern student lifestyle.And, each like a home in their own right  with kitchen, bathroom, flat screen TV and  double bed. Your own little haven.Youll be positivelysurrounded by shared facilities: a gym, lounge, TV room and private cinema. A whole community under one roof.All perfectly secure. An on-site manager, maintenance team, and round-the-clock CCTV all work together to make sure youre safe.There are no booking fees or deposits to pay! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance!",St Peter Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1573598,-2.1010798,n/a,Hello Student,784.33,181.0,7602.0,n/a,Classic Smaller Studio,studio,9.7,shorter tenancy,42
2023/2024,34 - 36 St Peters Street Aberdeen AB24 3HQ,"Our Landlord Registration Number is 1051301/100/03061Cosy private studios and buzzy shared spaces  less than a mile from Aberdeen University and Aberdeen College. St Peter Studios has it all.Theres 123 studio spaces going. All-inclusive. All purpose-built for the modern student lifestyle.And, each like a home in their own right  with kitchen, bathroom, flat screen TV and  double bed. Your own little haven.Youll be positivelysurrounded by shared facilities: a gym, lounge, TV room and private cinema. A whole community under one roof.All perfectly secure. An on-site manager, maintenance team, and round-the-clock CCTV all work together to make sure youre safe.There are no booking fees or deposits to pay! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance!",St Peter Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1573598,-2.1010798,n/a,Hello Student,788.67,182.0,7644.0,n/a,Classic Studio - Fixed Window,studio,9.7,shorter tenancy,42
2023/2024,34 - 36 St Peters Street Aberdeen AB24 3HQ,"Our Landlord Registration Number is 1051301/100/03061Cosy private studios and buzzy shared spaces  less than a mile from Aberdeen University and Aberdeen College. St Peter Studios has it all.Theres 123 studio spaces going. All-inclusive. All purpose-built for the modern student lifestyle.And, each like a home in their own right  with kitchen, bathroom, flat screen TV and  double bed. Your own little haven.Youll be positivelysurrounded by shared facilities: a gym, lounge, TV room and private cinema. A whole community under one roof.All perfectly secure. An on-site manager, maintenance team, and round-the-clock CCTV all work together to make sure youre safe.There are no booking fees or deposits to pay! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance!",St Peter Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1573598,-2.1010798,n/a,Hello Student,806.0,186.0,7812.0,n/a,Classic Smaller Studio - Cityscape View,studio,9.7,shorter tenancy,42
2023/2024,34 - 36 St Peters Street Aberdeen AB24 3HQ,"Our Landlord Registration Number is 1051301/100/03061Cosy private studios and buzzy shared spaces  less than a mile from Aberdeen University and Aberdeen College. St Peter Studios has it all.Theres 123 studio spaces going. All-inclusive. All purpose-built for the modern student lifestyle.And, each like a home in their own right  with kitchen, bathroom, flat screen TV and  double bed. Your own little haven.Youll be positivelysurrounded by shared facilities: a gym, lounge, TV room and private cinema. A whole community under one roof.All perfectly secure. An on-site manager, maintenance team, and round-the-clock CCTV all work together to make sure youre safe.There are no booking fees or deposits to pay! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance!",St Peter Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1573598,-2.1010798,n/a,Hello Student,810.33,187.0,7854.0,n/a,Classic Studio,studio,9.7,shorter tenancy,42
2023/2024,34 - 36 St Peters Street Aberdeen AB24 3HQ,"Our Landlord Registration Number is 1051301/100/03061Cosy private studios and buzzy shared spaces  less than a mile from Aberdeen University and Aberdeen College. St Peter Studios has it all.Theres 123 studio spaces going. All-inclusive. All purpose-built for the modern student lifestyle.And, each like a home in their own right  with kitchen, bathroom, flat screen TV and  double bed. Your own little haven.Youll be positivelysurrounded by shared facilities: a gym, lounge, TV room and private cinema. A whole community under one roof.All perfectly secure. An on-site manager, maintenance team, and round-the-clock CCTV all work together to make sure youre safe.There are no booking fees or deposits to pay! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance!",St Peter Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1573598,-2.1010798,n/a,Hello Student,871.0,201.0,8442.0,n/a,Classic Studio - Cityscape View,studio,9.7,shorter tenancy,42
2023/2024,34 - 36 St Peters Street Aberdeen AB24 3HQ,"Our Landlord Registration Number is 1051301/100/03061Cosy private studios and buzzy shared spaces  less than a mile from Aberdeen University and Aberdeen College. St Peter Studios has it all.Theres 123 studio spaces going. All-inclusive. All purpose-built for the modern student lifestyle.And, each like a home in their own right  with kitchen, bathroom, flat screen TV and  double bed. Your own little haven.Youll be positivelysurrounded by shared facilities: a gym, lounge, TV room and private cinema. A whole community under one roof.All perfectly secure. An on-site manager, maintenance team, and round-the-clock CCTV all work together to make sure youre safe.There are no booking fees or deposits to pay! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance!",St Peter Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1573598,-2.1010798,n/a,Hello Student,875.33,202.0,8484.0,n/a,Classic Bigger Studio,studio,9.7,shorter tenancy,42
2023/2024,"Foss Studios, 32 Lawrence Street, York. YO10 3DU","Foss Studios is mid-way between the city centre and the University of York, so youll be in a great spot to enjoy Yorks great shops, restaurants, bars and attractions  while also being just a short walk (or bus ride) from both universities. Its about a 16-minute walk to the University of York, and a few more to York St John Universityand if you dont feel like walking, theres a bus stop right outside.Whether you to choose to enjoy living all by yourself, or share with your plus one, theres a room to suit everyones budget. Set up home with your own double bed, roomy work station, high spec kitchen area and en-suite shower room.With no deposits or fees to pay, all bills are included in your rent  electricity, WIFI, water and free contents insurance. Its all taken care of.",Foss Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/,York,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,53.954581,-1.0713916,n/a,Hello Student,1100.67,254.0,11176.0,n/a,Classic Studio,studio,10.2,shorter tenancy,44
2023/2024,"Foss Studios, 32 Lawrence Street, York. YO10 3DU","Foss Studios is mid-way between the city centre and the University of York, so youll be in a great spot to enjoy Yorks great shops, restaurants, bars and attractions  while also being just a short walk (or bus ride) from both universities. Its about a 16-minute walk to the University of York, and a few more to York St John Universityand if you dont feel like walking, theres a bus stop right outside.Whether you to choose to enjoy living all by yourself, or share with your plus one, theres a room to suit everyones budget. Set up home with your own double bed, roomy work station, high spec kitchen area and en-suite shower room.With no deposits or fees to pay, all bills are included in your rent  electricity, WIFI, water and free contents insurance. Its all taken care of.",Foss Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/,York,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,53.954581,-1.0713916,n/a,Hello Student,1126.67,260.0,11440.0,n/a,Classic Studio - Cityscape View,studio,10.2,shorter tenancy,44
2023/2024,"Foss Studios, 32 Lawrence Street, York. YO10 3DU","Foss Studios is mid-way between the city centre and the University of York, so youll be in a great spot to enjoy Yorks great shops, restaurants, bars and attractions  while also being just a short walk (or bus ride) from both universities. Its about a 16-minute walk to the University of York, and a few more to York St John Universityand if you dont feel like walking, theres a bus stop right outside.Whether you to choose to enjoy living all by yourself, or share with your plus one, theres a room to suit everyones budget. Set up home with your own double bed, roomy work station, high spec kitchen area and en-suite shower room.With no deposits or fees to pay, all bills are included in your rent  electricity, WIFI, water and free contents insurance. Its all taken care of.",Foss Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/,York,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,53.954581,-1.0713916,n/a,Hello Student,1191.67,275.0,12100.0,n/a,Classic Bigger Studio,studio,10.2,shorter tenancy,44
