academic_year,availability,booking_fee,building_name,currency,date_end,date_start,deposit,description,offers,rent_pm,rent_pw,rent_total,room_name,tenancy_months,tenancy_type,tenancy_weeks,url,utilities_included
2023/2024,sold out,n/a,Stonemason House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,797.33,184.0,7912.0,Classic Shared Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/,n/a
2023/2024,sold out,n/a,Stonemason House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,797.33,184.0,7912.0,Classic Shared Apartment - Single Bed,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/,n/a
2023/2024,sold out,n/a,Stonemason House,GBP,23/08/24,28/10/23,n/a,n/a,n/a,888.33,205.0,8815.0,Classic 4 Bed Apartment,9.9,shorter tenancy,43,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/,n/a
2023/2024,sold out,n/a,St Peter Studios,GBP,16/08/24,28/10/23,n/a,n/a,n/a,784.33,181.0,7602.0,Classic Smaller Studio,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,n/a
2023/2024,sold out,n/a,St Peter Studios,GBP,16/08/24,28/10/23,n/a,n/a,n/a,788.67,182.0,7644.0,Classic Studio - Fixed Window,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,n/a
2023/2024,sold out,n/a,St Peter Studios,GBP,16/08/24,28/10/23,n/a,n/a,n/a,806.0,186.0,7812.0,Classic Smaller Studio - Cityscape View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,n/a
2023/2024,sold out,n/a,St Peter Studios,GBP,16/08/24,28/10/23,n/a,n/a,n/a,810.33,187.0,7854.0,Classic Studio,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,n/a
2023/2024,sold out,n/a,St Peter Studios,GBP,16/08/24,28/10/23,n/a,n/a,n/a,871.0,201.0,8442.0,Classic Studio - Cityscape View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,n/a
2023/2024,sold out,n/a,St Peter Studios,GBP,16/08/24,28/10/23,n/a,n/a,n/a,875.33,202.0,8484.0,Classic Bigger Studio,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,n/a
2023/2024,sold out,n/a,St Peter Studios,GBP,16/08/24,28/10/23,n/a,n/a,n/a,923.0,213.0,8946.0,Classic Bigger Studio - Cityscape View,9.7,shorter tenancy,42,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,n/a
