amenities,availability,building_name,description,name,operator,type,url
n/a,sold out,Stonemason House,n/a,Classic Shared Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/
n/a,sold out,Stonemason House,n/a,Classic Shared Apartment - Single Bed,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/
n/a,sold out,Stonemason House,n/a,Classic 4 Bed Apartment,Hello Student,non-ensuite,https://www.hellostudent.co.uk/student-accommodation/oxford/stonemason-house/
n/a,sold out,St Peter Studios,n/a,Classic Smaller Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Studio - Fixed Window,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Smaller Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,St Peter Studios,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
n/a,sold out,Foss Studios,n/a,Classic Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/
n/a,sold out,Foss Studios,n/a,Classic Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/
n/a,sold out,Foss Studios,n/a,Classic Bigger Studio,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/
n/a,sold out,St Peter Studios,n/a,Classic Bigger Studio - Cityscape View,Hello Student,studio,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/
